"Article","Source","Source Name","URL"
"environment 17","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الأسد"
"environment 18","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/البرق"
"environment 19","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الحديد"
"environment 20","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الذهب"
"environment 21","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/السمك"
"environment 22","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/علم_الفلك"
"environment 23","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الطاقة"
"environment 24","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/ديناصور"
"environment 25","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الألماس"
"environment 26","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/التمر"
"environment 27","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الفحم_الحجري"
"environment 28","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/القطة"
"environment 29","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الجمل"
"environment 30","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الدب"
"environment 31","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/نمل"
"environment 32","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الحيوانات"
"environment 33","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/زحل"
"environment 34","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الطبيعة"
"finance 1","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/المالية"
"finance 15","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/المصرف"
"health 2","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/إثنا_عشري"
"health 3","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/المعدة"
"health 7","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/القلب"
"health 8","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الصداع"
"health 9","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/خلية_الدم_الحمراء"
"health 10","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/البنكرياس"
"health 11","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/مريء"
"health 14","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الرئة"
"health 15","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/سيجارة"
"health 16","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/المخدرات"
"health 17","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الكبد"
"politics 6","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الأمم_المتحدة"
"politics 14","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/قضية_لوكربي"
"politics 15","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/تاريخ_ليبيا_المعاصر"
"politics 16","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/السياسة_البربرية"
"politics 17","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/حرب_اليمن"
"politics 18","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/حرب_فيتنام"
"politics 19","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الصراع_العربي_الإسرائيلي"
"politics 20","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الحرب_العالمية_الثانية"
"politics 21","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الحرب_الباردة"
"religion 1","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/المسيحية"
"religion 2","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/محمد"
"religion 3","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الإسلام"
"religion 5","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/التوراة"
"religion 6","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الدين_البهائي"
"religion 7","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/بوذية"
"religion 8","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الزرادشتية"
"Science and Technology 2","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/تويوتا"
"Science and Technology 4","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الانسان_الآلي"
"Science and Technology 5","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/مايكروسوفت"
"Science and Technology 8","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/شاشات_اللمس"
"Science and Technology 9","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الكاميرا"
"Science and Technology 10","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/القرص_المرن"
"Science and Technology 11","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الحاسوب"
"Science and Technology 12","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/السيارة"
"Science and Technology 14","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/مرسيدس"
"Science and Technology 15","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الصاروخ"
"Science and Technology 16","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/سفينة"
"sport 1","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/البيسبول"
"sport 2","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/كأس_العالم_لكرة_القدم"
"sport 3","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/السباحة"
"sport 4","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الألعاب_الأولمبية"
"sport 5","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/هوكي_الجليد"
"sport 6","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/كرة_القدم"
"sport 7","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/كرة_اليد"
"sport 8","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الجمباز"
"sport 9","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الكارتيه"
"sport 10","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الملاكمة"
"tourisms 1","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/متحف_اللوفر"
"tourisms 2","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الأردن"
"tourisms 3","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/مدينة_عمان"
"tourisms 4","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/القدس"
"tourisms 5","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/نهر_النيل"
"tourisms 6","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/نهر_الأردن"
"tourisms 7","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الهيمالايا"
"tourisms 8","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/إمارة_دبي"
"tourisms 9","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/جمهورية_الصين_الشعبية"
"tourisms 10","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/فلسطين"
"tourisms 11","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/البتراء"
"tourisms 12","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/أهرامات_الجيزة"
"tourisms 13","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/مكتبة_الإسكندرية"
"tourisms 14","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/بيج_بن"
"Art and Music 7","www.alrai.com","Alrai Newspaper",
"education 3","www.alrai.com","Alrai Newspaper",
"environment 3","www.alrai.com","Alrai Newspaper",
"health 4","www.alrai.com","Alrai Newspaper",
"health 12","www.alrai.com","Alrai Newspaper",
"health 13","www.alrai.com","Alrai Newspaper",
"politics 2","www.alrai.com","Alrai Newspaper",
"politics 3","www.alrai.com","Alrai Newspaper",
"politics 4","www.alrai.com","Alrai Newspaper",
"politics 5","www.alrai.com","Alrai Newspaper",
"politics 7","www.alrai.com","Alrai Newspaper",
"politics 8","www.alrai.com","Alrai Newspaper",
"politics 9","www.alrai.com","Alrai Newspaper",
"Art and Music 4","www.alwatan.com.sa","Alwatan Newspaper",
"Art and Music 5","www.alwatan.com.sa","Alwatan Newspaper",
"Art and Music 6","www.alwatan.com.sa","Alwatan Newspaper",
"education 1","www.alwatan.com.sa","Alwatan Newspaper",
"education 2","www.alwatan.com.sa","Alwatan Newspaper",
"finance 2","www.alwatan.com.sa","Alwatan Newspaper",
"finance 3","www.alwatan.com.sa","Alwatan Newspaper",
"finance 4","www.alwatan.com.sa","Alwatan Newspaper",
"finance 5","www.alwatan.com.sa","Alwatan Newspaper",
"finance 6","www.alwatan.com.sa","Alwatan Newspaper",
"finance 7","www.alwatan.com.sa","Alwatan Newspaper",
"finance 8","www.alwatan.com.sa","Alwatan Newspaper",
"finance 9","www.alwatan.com.sa","Alwatan Newspaper",
"finance 10","www.alwatan.com.sa","Alwatan Newspaper",
"finance 11","www.alwatan.com.sa","Alwatan Newspaper",
"finance 12","www.alwatan.com.sa","Alwatan Newspaper",
"finance 13","www.alwatan.com.sa","Alwatan Newspaper",
"finance 14","www.alwatan.com.sa","Alwatan Newspaper",
"finance 16","www.alwatan.com.sa","Alwatan Newspaper",
"finance 17","www.alwatan.com.sa","Alwatan Newspaper",
"health 1","www.alwatan.com.sa","Alwatan Newspaper",
"health 5","www.alwatan.com.sa","Alwatan Newspaper",
"health 6","www.alwatan.com.sa","Alwatan Newspaper",
"politics 1","www.alwatan.com.sa","Alwatan Newspaper",
"politics 10","www.alwatan.com.sa","Alwatan Newspaper",
"politics 11","www.alwatan.com.sa","Alwatan Newspaper",
"politics 12","www.alwatan.com.sa","Alwatan Newspaper",
"politics 13","www.alwatan.com.sa","Alwatan Newspaper",
"religion 4","www.alwatan.com.sa","Alwatan Newspaper",
"Science and Technology 1","www.alwatan.com.sa","Alwatan Newspaper",
"Science and Technology 3","www.alwatan.com.sa","Alwatan Newspaper",
"Science and Technology 6","www.alwatan.com.sa","Alwatan Newspaper",
"Science and Technology 7","www.alwatan.com.sa","Alwatan Newspaper",
"Science and Technology 13","www.alwatan.com.sa","Alwatan Newspaper",


"# Articles","Source"
106,"Wikipedia"
34,"Alwatan Newspaper"
13,"Alrai Newspaper"
"Total",153
